event_id,user_id,app_id,event_name,event_time,ingested_at,country,media_source,campaign,revenue_usd,is_test
a02813e0-20f9-409e-8802-4419597bcea6,usr_ec2c2920,app_101,session_start,2026-08-28 23:56:08,2026-08-29 00:39:35,US,Facebook Ads,PP_AND_US_purchase_broad,,false
5d99e246-293f-4027-971c-3522f84babb1,usr_7dafbb4c,app_401,session_start,2026-09-04 14:15:31,2026-09-04 14:35:41,US,Facebook Ads,BM_IOS_US_launch,,false
521879fd-2c91-48d1-a844-8f4b53457829,usr_7021be3c,app_101,purchase,2026-08-29 17:37:10,2026-08-29 18:43:09,JP,organic,,"0,99",false
cca674b0-ca2b-4301-86a8-c22b96e31b0c,usr_987a7f7c,app_201,subscription_start,2026-09-01 08:55:31,2026-09-01 09:18:28,PL,Facebook Ads,FP_IOS_US_trial,29.99,true
9ed4c28b-c911-4b35-9d36-f77d90e7bfa4,usr_063a1417,app_201,session_start,2026-08-31 21:19:47,2026-08-31 21:23:20,BR,organic,,,false
1edaa205-45fa-49cd-97f8-2e98ae0697ea,usr_f20f8639,app_101,install,2026-09-01 06:09:46,2026-09-01 06:14:38,us,Facebook Ads,PP_AND_US_purchase_broad,,false
6d3c9beb-6fdc-4347-952a-e588472d3ad9,usr_2ab75771,app_401,tutorial_complete,2026-08-30 18:22:49,2026-08-30 18:23:21,,organic,,,false
ee1e1604-8af6-460c-a536-cf06c41668fd,usr_cd6e0d25,app_401,subscription_start,2026-08-29 21:25:29,2026-08-30 09:48:05,TR,organic,,19.99,false
2b560805-ebd6-45ac-827b-231f34dadbd0,usr_81376ee9,app_201,subscription_start,2026-08-27 00:08:24,2026-08-27 00:09:52,US,organic,,6.99,false
56568ba4-77e7-425f-acb3-6bfff5d17c88,usr_2ab75771,app_401,purchase,2026-08-31 08:50:17,2026-08-31 08:50:30,DE,organic,,,false
6c2bf8d1-eaca-4a77-bb91-0905dee84e1d,usr_41cd5213,app_401,purchase,2026-09-02 05:59:11,2026-09-02 06:02:50,US,Facebook Ads,BM_IOS_US_launch,9.99,false
02643b20-2ce4-4afe-9bb4-46a49728585e,usr_b1cafebd,app_102,purchase,2026-09-02 04:20:46,2026-09-07 11:53:56,--,organic,,4.99,false
afa242e4-0911-4883-93fe-66147f1cc3df,usr_ba8c59a8,app_101,purchase,2026-09-04 03:29:21,2026-09-04 06:32:59,AU,organic,,9.99,false
c8a42a5d-eba3-42a3-9ed8-66d945fba1bd,usr_3f86062a,app_102,purchase,2026-09-01 13:38:11,2026-09-01 17:25:16,CA,organic,,,false
348d0878-3ca9-4018-ba79-b6ea16d15896,usr_81376ee9,app_201,purchase,2026-08-26 19:17:37,2026-08-26 19:21:32,US,organic,,"4,99",false
390ffc3d-2e6e-4f72-adda-e645859681ef,usr_4e87df20,app_401,registration,2026-08-31 11:08:08,2026-08-31 11:09:05,--,organic,,NULL,false
3b8c05a5-0cec-4a31-ac58-2c17aa135138,usr_c12a534e,app_401,session_start,2026-08-31 15:37:51,2026-08-31 15:40:02,,organic,,,false
d2f50152-b198-44b8-8b15-417c74b56fbc,usr_c59002f3,app_101,registration,2026-08-30 19:56:46,2026-08-30 20:00:05,US,Facebook Ads,PP_AND_US_purchase_broad,,false
69b8ab08-7391-47f0-a1f9-e4fa91da4db3,usr_b1cafebd,app_102,tutorial_complete,2026-08-30 13:32:15,2026-08-30 17:27:07,US,organic,,NULL,false
71cce240-ce0a-4509-81f3-5eba8d0f1ef1,usr_08f8511e,app_201,registration,2026-08-31 05:58:34,2026-08-31 08:20:14,NG,unityads_int,FP_IOS_UNITY_NG_cpi,,false
89758a9e-f821-4460-9ba6-d28854475789,usr_7021be3c,app_101,install,2026-08-28 14:09:09,2026-08-28 14:20:15,JP,organic,,,false
0a0603af-6d89-4d69-9223-30f3f912cd0d,usr_f6fe94f7,app_101,tutorial_complete,2026-08-30 15:42:27,2026-08-30 17:29:21,IN,applovin_int,PP_AND_AL_IN_cpi,,false
19903189-008f-4f1b-bf77-fcf045f87de1,usr_3fbfe452,app_101,session_start,2026-08-30 23:53:44,2026-08-31 00:38:38,--,Facebook Ads,PP_AND_US_purchase_broad,,false
7334bfed-7088-43e7-8c38-f9818ec94575,usr_fae17389,app_101,install,2026-08-26 21:01:53,2026-08-26 21:02:50,US,Facebook Ads,PP_AND_US_purchase_broad,NULL,false
bcbb0e66-ca60-4f69-9831-e63bf1837889,usr_2c9a69ca,app_101,purchase,2026-08-28 22:19:13,2026-09-02 20:15:47,US,googleadwords_int,PP_AND_UAC_tier1,"0,99",false
3e8a4f55-1315-4120-870f-06d085409417,usr_2ab75771,app_401,session_start,2026-09-01 05:17:03,2026-09-01 05:20:30,DE,organic,,,false
dd90f105-29b7-4b96-b2a0-1cfc71d7d491,usr_4e87df20,app_401,session_start,2026-09-01 16:01:30,2026-09-06 18:27:09,DE,organic,,,false
52e2d4a6-3c82-48e4-bdd6-503c3d168b87,usr_5c0c5047,app_201,registration,2026-08-30 14:09:13,2026-08-30 14:11:04,US,organic,,,false
21c5ef9a-378f-4b01-b01a-c8b1b0711cf8,usr_41cd5213,app_401,session_start,2026-09-01 10:15:08,2026-09-01 10:19:18,US,Facebook Ads,BM_IOS_US_launch,,false
c6ebee7f-2b49-4cb7-a92a-92e84147f46f,usr_c319deb6,app_102,purchase,2026-09-03 09:58:48,2026-09-03 11:10:44,IN,organic,,4.99,false
8398f683-d10c-4ed1-9bf5-f8fb4b6ea08c,usr_7021be3c,app_101,tutorial_complete,2026-08-28 14:33:55,2026-08-28 18:20:02,JP,organic,,NULL,false
782bfaab-cd8b-4e76-a61b-38cc703cd6a2,usr_046400f2,app_201,install,2026-09-02 10:03:31,2026-09-02 10:06:36,NG,unityads_int,FP_IOS_UNITY_NG_cpi,NULL,false
f074ddb7-06e1-4475-abf5-9e0539e7d547,usr_9ff95e01,app_101,registration,2026-08-29 13:15:54,2026-08-29 13:20:50,IN,applovin_int,PP_AND_AL_IN_cpi,,false
09e71313-d8f6-4945-b66f-06cd9e9100a5,usr_3f86062a,app_102,session_start,2026-09-02 02:33:36,2026-09-08 12:02:48,CA,organic,,NULL,false
bc3d76a9-3917-4257-8e71-2fb8950a3d21,usr_08f8511e,app_201,install,2026-08-31 05:49:43,2026-08-31 05:50:56,ng,unityads_int,FP_IOS_UNITY_NG_cpi,NULL,false
baa13b2f-f33d-4b41-b1ea-e2dc75079494,usr_b0d3afb2,app_102,tutorial_complete,2026-08-31 02:02:43,2026-08-31 02:06:46,PH,tiktokglobal_int,PP_IOS_TT_DE_video,NULL,false
00623e64-4c8e-4367-8c73-d7af7413fc85,usr_f20f8639,app_101,registration,2026-09-01 06:14:50,2026-09-01 08:19:20,US,Facebook Ads,PP_AND_US_purchase_broad,,false
08c330a6-3b60-45bd-a811-b92f6e942ac3,usr_3f86062a,app_102,install,2026-08-31 09:33:05,2026-08-31 09:34:13,CA,organic,,NULL,false
a7b277ec-4a33-43d3-a0d4-a1f5c5e9be06,usr_fa31fad2,app_201,purchase,2026-08-30 10:11:42,2026-09-02 10:08:27,--,Facebook Ads,FP_IOS_US_trial,"2,99",false
